Country;Year;Total;Coal;Oil;Gas;Cement;Flaring
Maldives;2021;2,12;0,00;2,12;0,00;0,00;0,00
Mali;2021;4,17;0,00;3,78;0,00;0,39;0,00
Malta;2021;1,72;0,00;0,88;0,84;0,00;0,00
Marshall Islands;2021;0,16;0,00;0,16;0,00;0,00;0,00
Martinique;2021;2,10;0,00;2,10;0,00;0,00;0,00
Mauritania;2021;4,12;0,00;4,12;0,00;0,00;0,00
Mauritius;2021;4,47;1,64;2,83;0,00;0,00;0,00
Mayotte;2021;0,27;0,00;0,27;0,00;0,00;0,00
Mexico;2021;407,21;19,36;195,72;157,55;22,34;12,24
Mongolia;2021;50,32;44,40;5,43;0,00;0,49;0,00
Montenegro;2021;1,75;0,79;0,96;0,00;0,00;0,00
Montserrat;2021;0,02;0,00;0,02;0,00;0,00;0,00
Morocco;2021;70,58;27,84;36,16;1,57;5,00;0,00
Mozambique;2021;7,16;0,05;4,17;1,92;1,01;0,00
Myanmar;2021;36,31;4,18;21,38;7,76;2,94;0,04
Namibia;2021;4,01;0,05;3,45;0,00;0,52;0,00
